Time,Road,Served,Priority
17:25:59,A,0,False
17:26:00,B,0,False
17:26:01,C,0,False
17:26:02,D,0,False
17:26:03,A,0,False
17:26:04,B,0,False
17:26:05,C,0,False
17:26:06,D,0,False
17:26:07,A,0,False
17:26:08,B,0,False
17:26:09,C,0,False
17:26:10,D,0,False
17:26:11,A,0,False
17:26:12,B,0,False
17:26:13,C,0,False
17:26:14,D,0,False
17:26:15,A,0,False
17:26:16,B,0,False
17:26:17,C,0,False
17:26:18,D,0,False
17:26:19,A,0,False
17:26:20,B,0,False
17:26:21,C,0,False
17:26:22,D,0,False
17:26:23,A,0,False
17:26:24,B,0,False
17:26:25,C,0,False
17:26:26,D,0,False
17:26:27,A,0,False
17:26:28,B,0,False
17:26:29,C,0,False
17:26:30,D,0,False
17:26:31,A,0,False
17:26:32,B,0,False
17:26:33,C,0,False
17:26:34,D,0,False
17:26:35,A,0,False
17:26:36,B,0,False
17:26:37,C,0,False
17:26:38,D,0,False
17:26:39,A,0,False
17:26:40,B,0,False
17:26:41,C,0,False
17:26:42,D,0,False
17:26:43,A,0,False
17:26:44,B,0,False
17:26:45,C,0,False
17:26:46,D,0,False
17:26:47,A,0,False
17:26:48,B,0,False
17:26:49,C,0,False
17:26:50,D,0,False
17:26:51,A,0,False
17:26:52,B,0,False
17:26:53,C,0,False
17:26:54,D,0,False
17:26:55,A,0,False
17:26:56,B,0,False
17:26:57,C,0,False
17:26:58,D,0,False
17:26:59,A,0,False
17:27:00,B,0,False
17:27:01,C,0,False
17:27:02,D,0,False
17:27:03,A,0,False
17:27:04,B,0,False
17:27:05,C,0,False
17:27:06,D,0,False
17:27:07,A,0,False
17:27:08,B,0,False
17:27:09,C,0,False
17:27:10,D,0,False
17:27:11,A,0,False
17:27:12,B,0,False
17:27:13,C,0,False
17:27:14,D,0,False
17:27:15,A,0,False
17:27:16,B,0,False
17:27:17,C,0,False
17:27:18,D,0,False
17:27:19,A,0,False
17:27:20,B,0,False
17:27:21,C,0,False
17:27:22,D,0,False
17:27:23,A,0,False
